timestamp,pid,type,workingSetMB
2026-09-05T11:03:22.5283854-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:22.5412076-07:00,9168,gpu-process,702.85
2026-09-05T11:03:22.5563364-07:00,8340,utility,53.4
2026-09-05T11:03:22.5692834-07:00,45576,utility,19.62
2026-09-05T11:03:22.5818166-07:00,30008,renderer,82.7
2026-09-05T11:03:22.5931542-07:00,38120,renderer,697.25
2026-09-05T11:03:22.6064099-07:00,34092,renderer,30.12
2026-09-05T11:03:23.7474392-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:23.7696384-07:00,9168,gpu-process,702.84
2026-09-05T11:03:23.8090390-07:00,8340,utility,53.4
2026-09-05T11:03:23.8485417-07:00,45576,utility,19.62
2026-09-05T11:03:23.8640606-07:00,30008,renderer,82.7
2026-09-05T11:03:23.8753220-07:00,38120,renderer,697.23
2026-09-05T11:03:23.8907428-07:00,34092,renderer,30.12
2026-09-05T11:03:24.9964883-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:25.0351395-07:00,9168,gpu-process,698.78
2026-09-05T11:03:25.0684571-07:00,8340,utility,53.4
2026-09-05T11:03:25.0879370-07:00,45576,utility,19.62
2026-09-05T11:03:25.1045581-07:00,30008,renderer,82.7
2026-09-05T11:03:25.1219549-07:00,38120,renderer,697.23
2026-09-05T11:03:25.1389017-07:00,34092,renderer,30.12
2026-09-05T11:03:26.2098839-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:26.2343154-07:00,9168,gpu-process,698.63
2026-09-05T11:03:26.2660436-07:00,8340,utility,53.4
2026-09-05T11:03:26.2972081-07:00,45576,utility,19.72
2026-09-05T11:03:26.3108487-07:00,30008,renderer,82.7
2026-09-05T11:03:26.3342353-07:00,38120,renderer,694.29
2026-09-05T11:03:26.3602848-07:00,34092,renderer,30.12
2026-09-05T11:03:27.4179043-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:27.4595278-07:00,9168,gpu-process,696.13
2026-09-05T11:03:27.4809614-07:00,8340,utility,53.4
2026-09-05T11:03:27.4985807-07:00,45576,utility,19.72
2026-09-05T11:03:27.5209318-07:00,30008,renderer,82.7
2026-09-05T11:03:27.5405061-07:00,38120,renderer,694.48
2026-09-05T11:03:27.5533599-07:00,34092,renderer,30.12
2026-09-05T11:03:28.6522259-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:28.6732676-07:00,9168,gpu-process,664.74
2026-09-05T11:03:28.7078098-07:00,8340,utility,53.4
2026-09-05T11:03:28.7200314-07:00,45576,utility,19.72
2026-09-05T11:03:28.7358507-07:00,30008,renderer,82.7
2026-09-05T11:03:28.7498646-07:00,38120,renderer,694.48
